Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2010-05-20,CCA,1384,SZX,PEK,B,,3,,false,,2010-05-20T22:20,2010-05-21T00:30,,,,,2010-05-21T01:20,,Airbus A321,,,,,,,,23e2d83a-7897-4492-a564-0957427ae666,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fe67fc1f-8483-4796-891a-81a54515c216,fa495023-95f7-46c7-abf5-69a5f2120d69,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2010-05-26,CCA,3311,PEK,SZX,3,,B,,false,,2010-05-26T08:30,2010-05-26T08:49,,,,,2010-05-26T11:30,2010-05-26T11:40,Boeing 737-900,,,,,,,,3e6c0301-7602-4842-89ba-df96f6b01652,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,fe67fc1f-8483-4796-891a-81a54515c216,,96c34e5f-1bf1-475f-8bf2-23522f46bb23
2011-01-31,CCA,1338,SZX,PEK,B,,3,,false,,2011-01-31T13:05,2011-01-31T13:52,,,,,2011-01-31T16:05,2011-01-31T16:33,Airbus A330,,,,,,,,1b6d7d73-6f48-4013-83e8-aa62f6fb5cfc,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fe67fc1f-8483-4796-891a-81a54515c216,fa495023-95f7-46c7-abf5-69a5f2120d69,,f4a5b854-d517-4008-954b-07efefb9efc3
2011-01-31,CCA,985,PEK,SFO,3,,I,,false,,2011-01-31T16:00,2011-01-31T16:24,,,,,2011-01-31T11:20,2011-01-31T10:52,Boeing 747-400,,,,,,,,d5c00f54-dd87-42cf-a4d9-f0787fbc805d,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,fa1c6563-0a22-4a7a-b46b-0dd291f5aed2
2011-02-13,UAL,1573,SFO,PHL,1,29,B,B5,false,,2011-02-13T08:30,2011-02-13T08:47,,,,,2011-02-13T16:48,2011-02-13T17:04,Airbus A321,,,,,,,,30b19170-093d-4f97-bbc1-1d24a514efb1,b57b4c86-4724-48f1-80be-d7de4036004a,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,a0d1ae30-2637-4b7c-87bd-91e31dc37468,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2011-02-18,UAL,846,IAD,SFO,Main,C12,3,86,false,,2011-02-18T08:30,2011-02-18T08:30,,,,,2011-02-18T11:31,2011-02-18T11:41,Boeing 767-300,,,,,,,,002e9284-2146-4290-87f2-118fca775d87,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,43446f91-8c37-47d7-bb5e-609364bbe870
2011-02-26,CCA,8889,SFO,PEK,I,G97,3,E30,false,,2011-02-26T11:07,2011-02-26T11:39,,,,,2011-02-27T15:40,2011-02-27T16:30,Boeing 777,,,,,,,,f7ade4ea-8ad1-4a70-ad1b-3539e614727f,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,fa495023-95f7-46c7-abf5-69a5f2120d69,,3d9b62ce-217c-490e-9dff-06d51ecb3791
2011-02-27,CCA,3311,PEK,SZX,3,,B,,false,,2011-02-27T08:10,2011-02-27T08:58,,,,,2011-02-27T11:20,2011-02-27T11:53,Airbus A320,,,,,,,,4091f877-224d-4298-a54f-4c8c26c9c6cb,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,fe67fc1f-8483-4796-891a-81a54515c216,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2012-05-20,CSN,5156,SZX,KMG,B,,,,false,,2012-05-20T12:00,2012-05-20T12:23,,,,,2012-05-20T14:15,2012-05-20T14:23,Boeing 737,,,,,,,,6d6673b6-3518-47b3-81dd-771dc8689968,255d4d33-d2aa-4a84-bc7d-0613c507151f,fe67fc1f-8483-4796-891a-81a54515c216,e90b5211-2818-465b-a4f2-f6f7fb8da6b1,,9d52e2d2-e872-477e-b033-23bff043de69
2012-05-31,CSN,3452,KMG,SZX,,,A,,false,,2012-05-31T20:55,2012-05-31T20:57,,,,,2012-05-31T22:45,2012-05-31T22:36,Airbus A319,,,,,,,,2c98bae3-0d85-4dd5-bef5-e658b1d41ff6,255d4d33-d2aa-4a84-bc7d-0613c507151f,e90b5211-2818-465b-a4f2-f6f7fb8da6b1,fe67fc1f-8483-4796-891a-81a54515c216,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
